key;bereich;de;schwaebisch;en;it;fr;typ
app.title;Kopf;Unterbrechungszähler;Unterbrechungszähler;Interruption Counter;Contatore interruzioni;Compteur d’interruptions;statisch
connection.connecting;Kopf;Verbinden...;Verbinda...;Connecting...;Connessione...;Connexion...;dynamisch
connection.wifi;Kopf;WLAN verbunden;WLAN verbunda;Wi-Fi connected;Wi-Fi connesso;Wi-Fi connecté;dynamisch
connection.local;Kopf;Lokal verbunden;Lokal verbunda;Connected locally;Connesso localmente;Connecté localement;dynamisch
connection.offline;Kopf;Offline;Offline;Offline;Offline;Hors ligne;dynamisch
tab.today;Navigation;Heute;Heit;Today;Oggi;Aujourd’hui;statisch
tab.history;Navigation;Verlauf;Verlauf;History;Cronologia;Historique;statisch
tab.heatmap;Navigation;Heatmap;Heatmap;Heatmap;Mappa di calore;Carte thermique;statisch
tab.details;Navigation;Details;Details;Details;Dettagli;Détails;statisch
tab.export;Navigation;Export;Export;Export;Esporta;Export;statisch
tab.device;Navigation;Gerät;Grät;Device;Dispositivo;Appareil;statisch
tab.autark;Navigation;Autark;Autark;Standalone;Autonomo;Autonome;statisch
today.count;Heute;Unterbrechungen heute;Unterbrechunga heit;Interruptions today;Interruzioni oggi;Interruptions aujourd’hui;statisch
today.avg_gap;Heute;Ø Abstand;Ø Abstand;Avg. gap;Intervallo medio;Intervalle moyen;statisch
today.max_gap;Heute;längster Abstand;längschter Abstand;longest gap;intervallo più lungo;intervalle le plus long;statisch
today.last;Heute;letzte;letschte;last;ultima;dernière;statisch
today.by_time;Heute;Unterbrechungen nach Uhrzeit;Unterbrechunga nach Uhrzeit;Interruptions by time;Interruzioni per ora;Interruptions par heure;statisch
today.latest;Heute;Letzte Ereignisse;Letschte Ereignisse;Latest events;Ultimi eventi;Derniers événements;statisch
common.time;Allgemein;Zeit;Zeit;Time;Ora;Heure;statisch
common.gap;Allgemein;Abstand;Abstand;Gap;Intervallo;Intervalle;statisch
